@relation tyrex


@attribute	text_length	numeric
@attribute	digit_frequency	numeric
@attribute	phrases_per_paragraph	numeric
@attribute	punctuation_frequency	numeric
@attribute	sentence_length_avg	numeric
@attribute	sentence_length_max	numeric
@attribute	sentence_length_min	numeric
@attribute	class	{ epic, poetry, drama, report }


@DATA
604, 0.03237410071942446, 0.8571428571428571, 0.025911286780852, 10.25, 45, 1, report
280, 0.04669260700389105, 0.7954545454545454, 0.016386182462356066, 8.314285714285715, 28, 1, report
40, 0.0, 0.75, 0.03214285714285714, 13.0, 22, 2, poetry
56, 0.0, 0.6, 0.02346041055718475, 18.0, 30, 1, epic
196, 0.0055248618784530384, 1.6875, 0.03473227206946455, 7.666666666666667, 42, 1, epic
48, 0.0, 0.8, 0.013927576601671309, 11.75, 16, 9, poetry
1877, 0.0005810575246949448, 2.1464968152866244, 0.03496651392315826, 6.103857566765579, 46, 1, drama
90, 0.0, 0.5, 0.025, 21.5, 42, 7, poetry
2390, 0.038425925925925926, 0.6785714285714286, 0.019886969503092343, 13.625730994152047, 43, 1, report
3326, 0.0, 0.7808219178082192, 0.025679687131885218, 14.403508771929825, 56, 1, epic
676, 0.0, 1.3434343434343434, 0.02910798122065728, 5.345864661654136, 9, 1, drama
1314, 0.017529215358931552, 0.7518248175182481, 0.0198989586555315, 12.62135922330097, 37, 1, report
149, 0.0, 1.263157894736842, 0.026244343891402715, 6.625, 27, 1, drama
189, 0.01098901098901099, 0.5333333333333333, 0.034874905231235785, 12.3125, 29, 1, poetry
5555, 0.0, 0.7531120331950207, 0.025603471657173853, 14.977961432506888, 85, 1, epic
717, 0.0014970059880239522, 0.4, 0.03071739992072929, 12.116666666666667, 38, 1, drama
211, 0.0, 1.3529411764705883, 0.03525179856115108, 9.434782608695652, 25, 2, poetry
2764, 0.0, 0.45064377682403434, 0.02454490788826327, 25.104761904761904, 78, 2, poetry
1210, 0.0, 1.4512820512820512, 0.02722200846479415, 4.597173144876325, 19, 1, drama
1145, 0.014450867052023121, 0.7238805970149254, 0.015447877306068015, 11.690721649484535, 37, 1, report
885, 0.0161090458488228, 0.7789473684210526, 0.017130307467057102, 11.891891891891891, 37, 1, report
146, 0.007352941176470588, 1.0, 0.02430939226519337, 13.272727272727273, 35, 4, epic
142, 0.0, 0.4, 0.028125, 14.5, 23, 1, poetry
96, 0.0, 0.375, 0.026490066225165563, 30.333333333333332, 49, 20, poetry
1838, 0.0, 0.7196969696969697, 0.029629059565953516, 10.142105263157895, 79, 1, drama
2862, 0.015319800842589047, 0.8118081180811808, 0.024012393493415957, 12.863636363636363, 38, 1, report
756, 0.0, 1.7226890756302522, 0.032380662815445424, 4.107317073170732, 10, 1, drama
972, 0.003374578177727784, 1.186046511627907, 0.03814098036445826, 9.705882352941176, 98, 1, poetry
47, 0.0, 0.8, 0.029801324503311258, 11.5, 22, 1, epic
32, 0.0, 0.6666666666666666, 0.024691358024691357, 15.5, 18, 13, poetry
81, 0.013333333333333334, 0.7142857142857143, 0.02181818181818182, 15.8, 34, 3, epic
50, 0.0, 1.0, 0.007481296758104738, 4.166666666666667, 7, 1, epic
43, 0.0, 1.0, 0.027777777777777776, 10.75, 16, 6, poetry
63, 0.0, 0.6, 0.025, 20.333333333333332, 26, 12, poetry
106, 0.0, 0.75, 0.03225806451612903, 17.333333333333332, 31, 4, poetry
768, 0.01291248206599713, 0.717391304347826, 0.01850387474300174, 11.545454545454545, 39, 1, report
2254, 0.06059088632949424, 0.6976744186046512, 0.015758743835383483, 8.392592592592592, 41, 1, report
83, 0.025974025974025976, 1.7142857142857142, 0.03327495621716287, 7.333333333333333, 20, 2, epic
99, 0.010869565217391304, 0.75, 0.022435897435897436, 16.166666666666668, 27, 6, poetry
71, 0.015151515151515152, 0.5, 0.024336283185840708, 22.666666666666668, 50, 2, poetry
255, 0.0, 0.2, 0.01871657754010695, 25.9, 42, 3, poetry
140, 0.015503875968992248, 0.75, 0.023001095290251915, 15.222222222222221, 42, 1, epic
64, 0.01694915254237288, 1.1666666666666667, 0.025404157043879907, 9.285714285714286, 17, 3, epic
654, 0.02003338898163606, 0.7763157894736842, 0.027059055895714005, 11.135593220338983, 37, 1, report
87, 0.0125, 1.125, 0.03156146179401993, 9.777777777777779, 17, 4, epic
152, 0.0, 0.9230769230769231, 0.03051181102362205, 12.583333333333334, 42, 1, poetry
137, 0.0, 0.6923076923076923, 0.022426095820591234, 14.777777777777779, 27, 1, epic
2002, 0.0, 0.4585987261146497, 0.029793955057793094, 14.277777777777779, 97, 1, drama
37, 0.0, 0.5, 0.01090909090909091, 12.333333333333334, 22, 3, poetry
477, 0.0, 0.7945205479452054, 0.028275475923852184, 8.724137931034482, 44, 1, drama
1627, 0.0, 1.6753246753246753, 0.03508771929824561, 6.709302325581396, 38, 1, drama
82, 0.0, 1.5714285714285714, 0.037300177619893425, 7.818181818181818, 17, 1, poetry
62, 0.0, 1.0, 0.026200873362445413, 10.333333333333334, 14, 5, poetry
478, 0.0, 0.33088235294117646, 0.030652503793626707, 10.755555555555556, 49, 2, drama
77, 0.0, 0.5714285714285714, 0.027829313543599257, 18.5, 25, 14, poetry
962, 0.0, 1.3614457831325302, 0.030280758488901955, 8.778761061946902, 47, 1, drama
45, 0.0, 0.75, 0.027874564459930314, 14.666666666666666, 18, 8, poetry
85, 0.0, 0.8571428571428571, 0.0225140712945591, 14.0, 17, 11, poetry
869, 0.0, 1.5182481751824817, 0.03050665233167585, 4.519230769230769, 9, 1, drama
