@relation tyrex


@attribute	NE_frequency	numeric
@attribute	word_variance	numeric
@attribute	digit_frequency	numeric
@attribute	noun_frequency	numeric
@attribute	phrases_per_paragraph	numeric
@attribute	punctuation_frequency	numeric
@attribute	rhyme_average	numeric
@attribute	sentence_length_avg	numeric
@attribute	sentence_length_max	numeric
@attribute	sentence_length_min	numeric
@attribute	text_length	numeric
@attribute	verb_frequency	numeric
@attribute	word_length_average	numeric
@attribute	class	{ erzaehlung, lyrik, dramatik, lustspiel, essay, tragoedie, maerchen, novelle, sonett, roman, ballade, fabel }


@DATA
0.014040561622464899, 0.35850234009360377, 0.0006903693476009665, 0.20343213728549142, 0.8444444444444444, 0.021679847286610307, 0.6840148698884758, 13.701754385964913, 57, 2, 3166, 1.0, 0.8411862110492248, roman
0.04225352112676056, 0.6103286384976526, 0.01020408163265306, 0.20187793427230047, 0.6111111111111112, 0.01882693700217234, 0.11764705882352941, 18.727272727272727, 28, 6, 213, 1.0, 0.8341158059467919, fabel
0.01184956208140134, 0.32921174652241114, 0.0005605381165919282, 0.21483771251931993, 0.3630573248407643, 0.025461073935041618, 0.6538461538461539, 32.280701754385966, 74, 5, 1940, 1.0, 0.8320194057004245, novelle
0.018695652173913044, 0.25869565217391305, 0.0, 0.18391304347826087, 0.3240223463687151, 0.01909821941412981, 0.7078651685393258, 37.48275862068966, 110, 1, 2295, 1.0, 0.8264182257091128, fabel
0.04460093896713615, 0.5234741784037559, 0.0, 0.176056338028169, 0.7222222222222222, 0.019844082211197732, 0.2, 15.76923076923077, 34, 5, 420, 1.0, 0.8378482972136223, maerchen
0.06790123456790123, 0.6481481481481481, 0.0, 0.24691358024691357, 0.6428571428571429, 0.024816176470588234, 0.3076923076923077, 17.22222222222222, 28, 9, 160, 1.0, 0.8406813627254509, lyrik
0.032839665164198326, 0.3760463618802318, 0.0014771048744460858, 0.16934964584674822, 0.6030534351145038, 0.028357045410251414, 0.5267175572519084, 18.126582278481013, 64, 1, 1484, 1.0, 0.8423232108727968, roman
0.008264462809917356, 0.6694214876033058, 0.0, 0.30578512396694213, 0.9, 0.022813688212927757, 0.5555555555555556, 13.333333333333334, 31, 6, 121, 1.0, 0.8305084745762712, lyrik
0.0062959076600209865, 0.4092339979013641, 0.0, 0.20146904512067157, 0.3026315789473684, 0.015698852126941255, 0.5333333333333333, 39.04347826086956, 90, 7, 951, 1.0, 0.8324514991181657, maerchen
0.0, 0.5773195876288659, 0.0, 0.18556701030927836, 0.4666666666666667, 0.024597116200169637, 0.2857142857142857, 26.0, 34, 10, 190, 1.0, 0.8283378746594006, maerchen
0.05714285714285714, 0.6857142857142857, 0.0, 0.11428571428571428, 1.0, 0.0425531914893617, 0.0, 11.666666666666666, 21, 6, 35, 1.0, 0.8333333333333334, lyrik
0.047619047619047616, 0.5317460317460317, 0.0, 0.18253968253968253, 0.5, 0.018421052631578946, 0.2222222222222222, 24.2, 34, 6, 126, 1.0, 0.8241912798874824, maerchen
0.028368794326241134, 0.6524822695035462, 0.0, 0.22695035460992907, 0.7272727272727273, 0.03267211201866978, 0.0, 16.625, 25, 4, 136, 1.0, 0.8253557567917206, lyrik
0.01272264631043257, 0.3384223918575064, 0.0021008403361344537, 0.13676844783715011, 0.29365079365079366, 0.023284313725490197, 0.624, 39.567567567567565, 111, 4, 1553, 1.0, 0.8332079527135948, roman
0.011513157894736841, 0.48848684210526316, 0.0017953321364452424, 0.21052631578947367, 0.47058823529411764, 0.023494126468382906, 0.47058823529411764, 24.166666666666668, 55, 1, 607, 1.0, 0.8373896763840599, roman
0.023142509135200974, 0.39707673568818513, 0.004335260115606936, 0.17783191230207065, 0.95, 0.030489052588500102, 0.4915254237288136, 13.12280701754386, 48, 1, 751, 1.0, 0.8271491126987786, roman
0.042951541850220265, 0.4669603524229075, 0.004892966360856269, 0.24284140969162996, 0.5411764705882353, 0.02874036374522865, 0.5443786982248521, 18.76086956521739, 111, 1, 1804, 1.0, 0.8538068596448553, erzaehlung
0.008152173913043478, 0.5353260869565217, 0.005934718100890208, 0.21195652173913043, 1.7857142857142858, 0.02909090909090909, 0.14814814814814814, 7.72, 16, 3, 364, 1.0, 0.8231855820750121, ballade
