@attribute measureMissingArcs numeric
@attribute measureReversedArcs numeric
@attribute measureDivergence numeric
@attribute measureBayesScore numeric
@attribute measureBDeuScore numeric
@attribute measureMDLScore numeric
@attribute measureAICScore numeric
@attribute measureEntropyScore numeric
@attribute measureAttributesUsed numeric
@attribute measureNumIterations numeric

@data

tyrex,2,10,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160126.0129,1135,126,115,11,0,91.269841,8.730159,0,0.879352,0.069644,0.198768,19.004403,46.454252,245.815728,68.198868,177.61686,1.950918,0.541261,1.409658,207.205699,1.64449,10603.479807,0.636364,14,0.019231,2,0.980769,102,0.363636,8,0.875,0.636364,0.736842,0.829545,0.912698,0.041004,0.958996,0.087302,0.914216,0.912698,0.908913,0.947194,1.532,0.001,1.54,0,16868,125942,15961,?,?,?,?,?,?,?,?,?,?,?,?
tyrex,1,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.7 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160126.0129,1134,127,104,23,0,81.889764,18.110236,0,0.753772,0.099254,0.276608,27.074868,64.620608,247.934307,175.019185,72.915122,1.952239,1.378104,0.574135,189.39349,1.491287,9692.672159,0.545455,12,0.057143,6,0.942857,99,0.454545,10,0.666667,0.545455,0.6,0.785714,0.818898,0.062613,0.937387,0.181102,0.819324,0.818898,0.814284,0.932176,1.554,0,1.56,0,16868,125833,16070,?,?,?,?,?,?,?,?,?,?,?,?
tyrex,1,2,weka.classifiers.functions.MultilayerPerceptron,'-L 0.7 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160126.0129,1135,126,113,13,0,89.68254,10.31746,0,0.85994,0.06394,0.203137,17.447858,47.475296,245.815728,110.400091,135.415637,1.950918,0.876191,1.074727,210.601789,1.671443,10777.270268,0.772727,17,0.057692,6,0.942308,98,0.227273,5,0.73913,0.772727,0.755556,0.934003,0.896825,0.03097,0.96903,0.103175,0.899133,0.896825,0.896911,0.967754,1.527,0.001,1.53,0,16868,125942,15961,?,?,?,?,?,?,?,?,?,?,?,?
tyrex,1,3,weka.classifiers.functions.MultilayerPerceptron,'-L 0.7 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160126.0129,1135,126,115,11,0,91.269841,8.730159,0,0.882022,0.057151,0.189247,15.595364,44.229018,245.815728,72.669984,173.145743,1.950918,0.576746,1.374173,215.133291,1.707407,11009.163947,0.909091,20,0.076923,8,0.923077,96,0.090909,2,0.714286,0.909091,0.8,0.944056,0.912698,0.022693,0.977307,0.087302,0.925028,0.912698,0.915617,0.976143,1.528,0.001,1.53,0,16868,125942,15961,?,?,?,?,?,?,?,?,?,?,?,?
tyrex,1,4,weka.classifiers.functions.MultilayerPerceptron,'-L 0.7 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160126.0129,1135,126,109,17,0,86.507937,13.492063,0,0.813171,0.082431,0.223849,22.493743,52.315846,245.815728,106.494342,139.321386,1.950918,0.845193,1.105725,199.446053,1.582905,10206.390119,0.545455,12,0.028846,3,0.971154,101,0.454545,10,0.8,0.545455,0.648649,0.866696,0.865079,0.060656,0.939344,0.134921,0.86572,0.865079,0.859615,0.952542,1.565,0,1.57,0,16868,125942,15961,?,?,?,?,?,?,?,?,?,?,?,?
tyrex,1,5,weka.classifiers.functions.MultilayerPerceptron,'-L 0.7 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160126.0129,1135,126,117,9,0,92.857143,7.142857,0,0.901759,0.055213,0.177578,15.066605,41.50178,245.815728,57.087387,188.728341,1.950918,0.453075,1.497844,215.86702,1.71323,11046.711556,0.727273,16,0.009615,1,0.990385,103,0.272727,6,0.941176,0.727273,0.820513,0.928759,0.928571,0.032879,0.967121,0.071429,0.930237,0.928571,0.926427,0.973072,1.529,0.001,1.53,0,16868,125942,15961,?,?,?,?,?,?,?,?,?,?,?,?
tyrex,1,6,weka.classifiers.functions.MultilayerPerceptron,'-L 0.7 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160126.0129,1135,126,106,20,0,84.126984,15.873016,0,0.78161,0.089913,0.258927,24.535277,60.51395,245.815728,133.899053,111.916675,1.950918,1.062691,0.888228,191.556933,1.520293,9802.674719,0.363636,8,0.038462,4,0.961538,100,0.636364,14,0.666667,0.363636,0.470588,0.836976,0.84127,0.059042,0.940958,0.15873,0.830007,0.84127,0.824741,0.951656,1.531,0,1.54,0,16868,125942,15961,?,?,?,?,?,?,?,?,?,?,?,?
tyrex,1,7,weka.classifiers.functions.MultilayerPerceptron,'-L 0.7 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160126.0129,1135,126,110,16,0,87.301587,12.698413,0,0.823961,0.078825,0.232786,21.47292,54.299991,246.823513,128.970998,117.852515,1.958917,1.023579,0.935337,198.296757,1.573784,10152.16218,0.521739,12,0,0,1,103,0.478261,11,1,0.521739,0.685714,0.848881,0.873016,0.058923,0.941077,0.126984,0.889325,0.873016,0.863925,0.949359,1.531,0,1.53,0,16868,125942,15961,?,?,?,?,?,?,?,?,?,?,?,?
tyrex,1,8,weka.classifiers.functions.MultilayerPerceptron,'-L 0.7 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160126.0129,1135,126,110,16,0,87.301587,12.698413,0,0.825801,0.068704,0.222852,18.715772,51.98297,246.823513,98.190492,148.633021,1.958917,0.77929,1.179627,205.653063,1.632167,10528.78161,0.608696,14,0.029126,3,0.970874,100,0.391304,9,0.823529,0.608696,0.7,0.921486,0.873016,0.051464,0.948536,0.126984,0.871209,0.873016,0.868475,0.962465,1.538,0,1.53,0,16868,125942,15961,?,?,?,?,?,?,?,?,?,?,?,?
tyrex,1,9,weka.classifiers.functions.MultilayerPerceptron,'-L 0.7 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160126.0129,1135,126,113,13,0,89.68254,10.31746,0,0.858182,0.062969,0.206846,17.164,48.282293,246.380435,82.616236,163.764199,1.9554,0.655684,1.299716,209.829315,1.665312,10740.455396,0.727273,16,0.038462,4,0.961538,100,0.272727,6,0.8,0.727273,0.761905,0.920017,0.896825,0.045043,0.954957,0.103175,0.902222,0.896825,0.896799,0.96767,1.525,0.001,1.52,0,16868,125942,15961,?,?,?,?,?,?,?,?,?,?,?,?
